x,y,class
1.1132,0.7233,1
1.2896,1.341,1
2.2373,5.0326,1
3.2818,4.4832,1
2.1793,11.096,1
1.191,1.4795,1
2.4869,5.4764,1
1.9253,11.062,1
1.5873,1.2687,1
1.2198,0.98679,1
2.8817,3.9024,1
3.0695,5.2261,1
1.0312,1.5213,1
1.6466,0.74602,1
0.79433,1.4306,1
2.5712,4.8086,1
3.1148,4.8184,1
3.327,4.799,1
2.6522,10.341,1
1.9892,10.914,1
2.0326,4.6151,1
0.91591,1.6975,1
2.39,4.7365,1
2.8481,4.0877,1
1.7792,4.4735,1
1.4465,11.337,1
2.9771,5.2569,1
1.437,1.0465,1
1.3703,0.93089,1
2.7413,4.4784,1
1.25,1.1495,1
3.2397,3.6619,1
2.9415,4.9005,1
2.4004,11.317,1
1.2627,1.4641,1
1.4299,1.1692,1
1.7933,10.838,1
2.0903,4.3954,1
2.803,4.6408,1
3.3956,4.343,1
1.4471,1.5027,1
3.1708,4.0563,1
2.1161,11.13,1
0.93132,1.0153,1
3.234,4.4412,1
2.9244,4.5393,1
2.4658,4.2498,1
1.3903,0.94961,1
1.497,1.4299,1
0.99015,1.166,1
2.3744,-0.69643,-1
1.6911,2.5181,-1
4.1793,8.1282,-1
4.0118,7.4501,-1
2.4505,-0.1184,-1
3.3505,7.4217,-1
4.8065,8.0305,-1
3.3332,7.9774,-1
0.74539,2.1466,-1
3.857,8.5222,-1
1.3075,3.0436,-1
0.72774,2.544,-1
2.667,-0.38363,-1
3.2773,8.51,-1
2.7536,-0.20401,-1
4.4413,8.1269,-1
0.80737,3.3491,-1
1.3795,3.4114,-1
4.6233,7.6253,-1
3.2924,7.9601,-1
1.1022,2.3727,-1
4.2726,8.8153,-1
2.5772,-0.26777,-1
3.8651,8.3632,-1
3.5321,7.342,-1
3.9343,7.9642,-1
2.9035,-0.18831,-1
2.7027,-0.13748,-1
3.9565,8.8408,-1
3.6678,7.262,-1
4.2571,7.5051,-1
4.0197,7.6563,-1
4.2932,8.3028,-1
3.8884,6.8748,-1
4.0726,8.8725,-1
1.7054,2.0432,-1
1.2148,2.4452,-1
0.79181,2.198,-1
4.1582,7.7649,-1
4.0306,7.7985,-1
3.7453,8.2032,-1
1.5757,3.6946,-1
3.2566,7.4399,-1
1.7141,2.5757,-1
0.63228,2.8911,-1
4.8507,8.3877,-1
2.1254,2.9756,-1
2.0838,2.598,-1
2.3896,-0.066763,-1
3.1264,-0.35298,-1
